"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Average Journal Impact Factor Percentile
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,187.040,99.770
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,72.406,99.677
3,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,57.000,99.746
4,CHEMICAL REVIEWS,CHEM REV,47.928,99.699
5,LANCET,LANCET,47.831,99.032
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,46.602,99.737
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,44.405,98.387
8,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,41.667,99.063
9,NATURE REVIEWS GENETICS,NAT REV GENET,40.282,99.701
10,NATURE,NATURE,40.137,99.219
11,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,39.932,99.669
12,NATURE MATERIALS,NAT MATER,39.737,99.598
13,Nature Nanotechnology,NAT NANOTECHNOL,38.986,99.440
14,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,38.618,99.096
15,Nature Photonics,NAT PHOTONICS,37.852,99.222
16,SCIENCE,SCIENCE,37.205,97.656
17,NATURE REVIEWS CANCER,NAT REV CANCER,37.147,99.309
18,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,36.917,99.367
19,LANCET ONCOLOGY,LANCET ONCOL,33.900,98.848
20,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,31.140,99.091
21,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,30.733,99.206
22,CELL,CELL,30.410,99.519
23,NATURE MEDICINE,NAT MED,29.886,99.259
24,Energy & Environmental Science,ENERG ENVIRON SCI,29.518,99.340
25,Living Reviews in Relativity,LIVING REV RELATIV,29.300,98.276
26,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,29.280,98.519
27,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,28.880,99.807
28,Annual Review of Immunology,ANNU REV IMMUNOL,28.396,99.007
29,NATURE GENETICS,NAT GENET,27.959,99.102
30,CANCER CELL,CANCER CELL,27.407,98.272
31,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,27.312,99.405
32,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,26.853,99.367
33,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,26.819,99.600
34,World Psychiatry,WORLD PSYCHIATRY,26.561,99.644
34,World Psychiatry,WORLD PSYCHIATRY,26.561,99.644
36,LANCET NEUROLOGY,LANCET NEUROL,26.284,99.742
37,Nature Chemistry,NAT CHEM,25.870,97.892
38,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,25.766,99.419
39,NATURE METHODS,NAT METHODS,25.062,99.359
40,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,24.008,97.926
41,Cell Stem Cell,CELL STEM CELL,23.394,97.625
42,IMMUNITY,IMMUNITY,22.845,98.344
43,Annual Review of Plant Biology,ANNU REV PLANT BIOL,22.808,99.764
44,Nature Physics,NAT PHYS,22.806,98.101
45,ADVANCES IN PHYSICS,ADV PHYS,21.818,97.761
46,Materials Today,MATER TODAY,21.695,98.364
47,NATURE IMMUNOLOGY,NAT IMMUNOL,21.506,97.682
48,BMJ-British Medical Journal,BMJ-BRIT MED J,20.785,97.742
49,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,20.693,97.465
50,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,20.268,97.289
51,Nature Reviews Neurology,NAT REV NEUROL,20.257,99.227
52,EUROPEAN HEART JOURNAL,EUR HEART J,20.212,99.603
53,NATURE CELL BIOLOGY,NAT CELL BIOL,20.060,97.105
54,Cancer Discovery,CANCER DISCOV,20.011,97.005
55,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,19.958,98.800
